arXiv ID,Primary category,Journal,Is proceedings,Presents new numerical results,UK authors,Generates field configurations,Specifies software used for configuration generation,Software used for configuration generation,Repository/hosting service for configuration generation code,Performs measurements,Specifies software used for measurement,Software used for measurements,Repository/hosting service for measurement code,Uses existing configurations,Configuration hosting infrastructure acknowledged,Cites existing configurations,Configurations generated by,Reanalyses other existing data,Cites other existing data,Publishes data,Data available on request?,Repository used for data,Specifies software used for analysis,Software used for analysis,Repository/hosting service for analysis code,Publishes parts of analysis,Publishes full analysis,Acknowledges an HPC centre,Acknowledges Supercomputing Wales,Acknowledges DiRAC,Review paper,Cites any other software,Comments
2107.06267,hep-ph,Nucl.Phys.B,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"QGRAF, FORM, Color, EvaluateMultiSums, LiteRed, Crusher, SolveCoupledSystem, Sigma, HarmonicSums",,N,N,N,N,N,N,,
2107.06291,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"Mathematica, FeynCalc, FORM, LoopTools",,N,N,N,N,N,N,,
2107.06335,hep-lat,Phys.Rev.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,URL citation,Mathematica,,N,N,N,N,N,N,,
2107.06858,hep-lat,PTEP,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.07059,quant-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.07085,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,PACS,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.07105,quant-ph, ,N,Y,N,N,,,,N,Data repository citation,cnqs,GitHub,N,,,,N,,N,N,,Data repository citation,cnqs,GitHub,N,N,Y,N,N,N,,
2107.07270,hep-lat,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.07291,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.07378,quant-ph, ,N,Y,Y,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.07877,quant-ph,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.07880,quant-ph, ,N,Y,N,N?,,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.08073,quant-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,Arc,,N,N,N,N,N,N,,
2107.08601,hep-th,Phys.Rev.D,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.08769,cond-mat.str-el,JHEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,"Python, Numpy, Scipy",,N,N,N,N,N,N,,
2107.08960,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,"Chroma, QUDA, QPhiX",,Y,,Mentioned by name,JLab/W&M/LANL/MIT,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.08978,hep-ph, ,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.09020,hep-th, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
